-----------------------------------------------------------------------------------------------
ASK - NO
-----------------------------------------------------------------------------------------------
ASK  | DEPT    | GENRE  | NAME                | LINK
-----|---------|--------|---------------------|------------------------------------------------
no   | --      | --     | --                  | --
-----------------------------------------------------------------------------------------------
ASK - WAIT
-----------------------------------------------------------------------------------------------
ASK  | DEPT    | GENRE  | NAME                | LINK
-----|---------|--------|---------------------|------------------------------------------------
wait |         |        |                     | https://www.tiktok.com/@_twistedt
wait |         |        |                     | https://www.tiktok.com/@aaron___edward
wait |         |        |                     | https://www.tiktok.com/@advicefromlouisreloaded
wait |         |        |                     | https://www.tiktok.com/@agirlthatexistsyes
wait |         |        |                     | https://www.tiktok.com/@all.gouda
wait |         |        |                     | https://www.tiktok.com/@bigtugg
wait |         |        |                     | https://www.tiktok.com/@ckwon117
wait |         |        |                     | https://www.tiktok.com/@dianamistique
wait |         |        |                     | https://www.tiktok.com/@madeline_pendleton
wait |         |        |                     | https://www.tiktok.com/@odessa.azion
wait |         |        |                     | https://www.tiktok.com/@okpeach
wait |         |        |                     | https://www.tiktok.com/@saint.stirling
wait |         |        |                     | https://www.tiktok.com/@thebrokepopstar
wait |         |        |                     | https://www.tiktok.com/@x4tonno
wait |         |        |                     | https://www.tiktok.com/@zero.woolfe
wait |         |        | boogierae           | https://www.tiktok.com/@booogierae
wait |         |        | bryce_estelle       | https://www.tiktok.com/@blackryanseacrest
wait |         |        | cashgrabber9000     | https://www.tiktok.com/@holdenwindsoronline
wait |         |        | investigator_slater | https://www.tiktok.com/@investigatorslater
wait |         |        | jake_xo             | https://www.tiktok.com/@jake.xo
wait |         |        | nephie              | https://www.tiktok.com/@queennephi
wait |         |        | think_slavic        | https://www.tiktok.com/@think.slavic
wait |         | --     |                     | https://www.tiktok.com/@_carmaxlla_
wait |         | --     |                     | https://www.tiktok.com/@badbittyontheblock
wait |         | --     |                     | https://www.tiktok.com/@chloe.longname
wait |         | --     |                     | https://www.tiktok.com/@dutifulxdolly
wait |         | --     |                     | https://www.tiktok.com/@jennmelon
wait |         | --     |                     | https://www.tiktok.com/@kaelynn_vp
wait |         | --     |                     | https://www.tiktok.com/@lyracr0wo
wait |         | --     |                     | https://www.tiktok.com/@reinknite
wait |         | --     |                     | https://www.tiktok.com/@runabyt3
wait |         | --     |                     | https://www.tiktok.com/@scifiandswords
wait |         | --     |                     | https://www.tiktok.com/@the8thvault
wait |         | --     |                     | https://www.tiktok.com/@xstinamendez
wait | music   | --     | chisadamgaming      | https://www.tiktok.com/@chrisadamgaming
wait | writing | --     | joever              | https://www.tiktok.com/@freshcoralblast
wait | writing | comedy | clarey              | https://www.tiktok.com/@eclared
wait | writing | comedy | miss_demeanour      | https://www.tiktok.com/@themissdemeanour
wait |         |        |                     | https://www.tiktok.com/@nowahwhyse
