PROJECT           | TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
draugb            | anime | 1985 | Angel's Egg                                                    | --            | --                     | --                       | --
draugb            | anime | 1988 | Akira                                                          | --            | --                     | --                       | --
draugb            | anime | 1988 | Gunbuster                                                      | --            | --                     | mecha opera              | --
draugb            | anime | 1991 | Æon Flux                                                       | --            | Peter Chung            | --                       | --
draugb            | anime | 1992 | Batman (TV)                                                    | DC/Batman     | --                     | --                       | --
draugb            | anime | 1992 | X-Men (TV)                                                     | Marvel/X-Men  | --                     | --                       | --
draugb            | anime | 1994 | Gargoyles (TV)                                                 | --            | Greg Weisman           | --                       | --
draugb            | anime | 1994 | ReBoot (TV)                                                    | --            | --                     | scifi techno             | --
draugb            | anime | 1995 | Memories                                                       | --            | --                     | --                       | --
draugb            | anime | 1997 | Virus Buster Serge                                             | --            | --                     | --                       | --
draugb            | anime | 1998 | Kirikou and the Sorceress                                      | --            | --                     | --                       | --
draugb            | anime | 1999 | Batman Beyond                                                  | DC/Batman     | --                     | --                       | --
draugb            | anime | 1999 | Futurama                                                       | --            | Matt Groenig           | scifi comedy             | --
draugb            | anime | 1999 | Jin-Roh: The Wolf Brigade                                      | --            | --                     | --                       | --
draugb            | anime | 2001 | Atlantis: The Lost Empire                                      | --            | --                     | --                       | --
draugb            | anime | 2001 | Cowboy Bebop: The Movie                                        | --            | --                     | --                       | --
draugb            | anime | 2001 | Final Fantasy: The Spirits Within                              | --            | --                     | --                       | --
draugb            | anime | 2001 | Osmosis Jones                                                  | --            | --                     | --                       | --
draugb            | anime | 2003 | The Animatrix                                                  | --            | --                     | --                       | --
draugb            | anime | 2004 | Gunbuster 2: Diebuster                                         | --            | --                     | mecha opera              | --
draugb            | anime | 2009 | The Secret of Kells                                            | --            | --                     | --                       | --
draugb            | anime | 2015 | Gate                                                           | Gate          | Takumi Yanai           | fantasy                  | --
draugb            | anime | 2016 | Dead Hand - 2 - Last Day of War                                | Dead Hand     | Dima Fedotov           | --                       | https://www.youtube.com/watch?v=oKKr0bkuYuo
draugb            | anime | 2019 | Ling Cage                                                      | --            | --                     | scifi action drama       | --
draugb            | anime | 2019 | Love, Death & Robots: Beyond the Aquila Rift                   | --            | --                     | --                       | --
draugb            | anime | 2021 | Mad God                                                        | --            | --                     | --                       | --
draugb            | anime | 2025 | War of Lights                                                  | --            | --                     | --                       | https://www.youtube.com/watch?v=z0AUrwl3-DI
draugb            | book  | 2007 | Unwind                                                         | --            | Neal Shusterman        | scifi dystopia adventure | --
draugb            | film  | 1957 | The Monolith Monsters                                          | --            | --                     | scifi disaster           | --
draugb            | film  | 1958 | Invention for Destruction                                      | --            | --                     | scifi adventure          | --
draugb            | film  | 1960 | Swiss Family Robinson                                          | --            | --                     | --                       | --
draugb            | film  | 1964 | Red Desert                                                     | --            | Michelangelo Antonioni | drama                    | --
draugb            | film  | 1967 | Viy                                                            | --            | --                     | --                       | --
draugb            | film  | 1968 | Night of the Living Dead                                       | --            | --                     | --                       | --
draugb            | film  | 1971 | The Andromeda Strain                                           | --            | --                     | --                       | --
draugb            | film  | 1971 | The Omega Man                                                  | --            | --                     | --                       | --
draugb            | film  | 1976 | Assault on Precinct 13                                         | --            | John Carpenter         | --                       | --
draugb            | film  | 1977 | Alternative 3                                                  | --            | --                     | mock                     | --
draugb            | film  | 1977 | Sorceror                                                       | --            | William Friedkin       | action thriller          | --
draugb            | film  | 1977 | The Gauntlet                                                   | --            | --                     | --                       | --
draugb            | film  | 1978 | Warlords of Atlantis                                           | --            | --                     | --                       | --
draugb            | film  | 1979 | Alien                                                          | Alien         | --                     | --                       | --
draugb            | film  | 1979 | Stalker                                                        | --            | --                     | --                       | --
draugb            | film  | 1980 | The Fog                                                        | --            | John Carpenter         | --                       | --
draugb            | film  | 1981 | Escape from New York                                           | --            | John Carpenter         | --                       | --
draugb            | film  | 1981 | Outland                                                        | --            | --                     | --                       | --
draugb            | film  | 1982 | The Thing                                                      | --            | John Carpenter         | --                       | --
draugb            | film  | 1983 | Videodrome                                                     | --            | David Cronenburg       | horror scifi             | --
draugb            | film  | 1984 | Dune                                                           | --            | --                     | --                       | --
draugb            | film  | 1984 | Nausicaä of the Valley of the Wind                             | --            | --                     | --                       | --
draugb            | film  | 1984 | The Terminator                                                 | Terminator    | --                     | --                       | --
draugb            | film  | 1984 | Threads                                                        | --            | --                     | disaster drama           | --
draugb            | film  | 1985 | Brazil                                                         | --            | Terry Gillam           | --                       | --
draugb            | film  | 1985 | Come and See                                                   | --            | --                     | war horror               | --
draugb            | film  | 1985 | Lifeforce                                                      | --            | --                     | --                       | --
draugb            | film  | 1986 | Aliens                                                         | --            | --                     | --                       | --
draugb            | film  | 1987 | Prince of Darkness                                             | --            | John Carpenter         | --                       | --
draugb            | film  | 1987 | Walker                                                         | --            | Alex Cox               | western weirdo           | --
draugb            | film  | 1988 | Oil Gobblers                                                   | --            | --                     | mock                     | --
draugb            | film  | 1988 | On the Silver Globe                                            | --            | --                     | --                       | --
draugb            | film  | 1988 | They Live                                                      | --            | John Carpenter         | --                       | --
draugb            | film  | 1989 | DeepStar Six                                                   | --            | --                     | --                       | --
draugb            | film  | 1989 | Elephant                                                       | --            | Alan Clarke            | crime thriller           | --
draugb            | film  | 1989 | Tetsuo: The Iron Man                                           | Tetsuo        | --                     | --                       | --
draugb            | film  | 1990 | Home Alone                                                     | --            | --                     | --                       | --
draugb            | film  | 1990 | Jacob’s Ladder                                                 | --            | --                     | --                       | --
