
--------------------------------------------------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
RR   | 1934 || mauser_k98k        | Mauser    | Karabiner 98 kurz         || --               | 8mm_mauser   |        |
RR   | 1948 || mauser_k98k_is     | Mauser    | Karabiner 98 kurz Israeli || mauser_k98k      | 8mm_mauser   |        |
RR   | 1986 || faf_giat_frf2      |           | FR F2 Sniper              || --               | 762_nato     |        |
L    | 1970 || rus_ags_17         | Russia    | AGS-17 Plamya             || --               | 30_29mm_ru   |        |
S    | 1975 || rus_aps_special    | Russia    | APS Special Underwater AR || --               | 566_39mm_mps |        |
SMG  | 1982 || colt_633_doe       | Colt      | Model 633 DOE             || colt_635         | 9mm_luger    |        |
SMG  | 1982 || colt_635           | Colt      | Model 635                 || --               | 9mm_luger    |        |
SMG  | 1982 || colt_636_dea       | Colt      | Model 636 DEA             || colt_635         | 9mm_luger    |        |
SMG  | 1990 || rus_kbp_pp_90      | KBP       | PP-90 Folding             || --               | 9mm_makarov  |        |
SAW  | 1994 || colt_lmg           | Colt      | Colt LMG                  || --               | 556_nato     |        |
PDW  | 2000 || sbd_cbj_ms         |           | SBD CBJ-MS                || --               | 650_25mm_cbj |        |
GPMG | 2170 || uscmc_m56a2        |           | --                        || nazi_mg42        | --           |        |
GPMG | ---- || nazi_mg42          |           | --                        || --               | --           |        |
SBR  | 2013 || aac_honey_badger   |           | AAC Honey Badger          ||                  | 300_blackout |        |
SBR  | 2021 || cz_600_trail       |           | CZ 600 Trail              ||                  | 300_blackout |        |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Revolver (R)
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
R    | 1873 || colt_1873          | Colt      | M1873 Single Action Army  ||                  |              | single | --
R    | 1878 || colt_1878_2_20     | Colt      | M1878 (2-20 WCF)          ||                  | 2-20_wcf     | double | --
R    | 1878 || colt_1878_38       | Colt      | M1878 (38 LC)             ||                  | 38_lc        | double | --
R    | 1878 || colt_1878_38_40    | Colt      | M1878 (38-40 WCF)         ||                  | 38_40_wcf    | double | --
R    | 1878 || colt_1878_41       | Colt      | M1878 (41 LC)             ||                  | 41_lc        | double | --
R    | 1878 || colt_1878_44_40    | Colt      | M1878 (44-40 WCF)         ||                  | 44_40_wcf    | double | --
R    | 1878 || colt_1878_455      | Colt      | M1878 (455 Webley)        ||                  | 455_webley   | double | --
R    | 1878 || colt_1878_45       | Colt      | M1878 (45 Colt)           ||                  | 45_colt      | double | --
R    | 1878 || colt_1878_476_eley | Colt      | M1878 (476 Eley)          ||                  | 476_eley     | double | --
R    | 1878 || mauser_78          | Mauser    | C78 Zig-Zag               ||                  |              |        | --
R    | 1879 || reichs_1879        | Germany   | M1879 Reichsrevolver      ||                  | 106_reichs   |        | --
R    | 1880 || enfield            | UK        | Enfield MK I              ||                  | 422_enfield  | double | --
R    | 1882 || enfield_2          | UK        | Enfield MK II             ||                  | 476_enfield  | double | --
R    | 1887 || webley             | UK        | Webley Mk I               ||                  | 455_webley   | double | top-break
R    | 1892 || colt_1892          | Colt      | M1892 New Army & Navy     ||                  | 38 LC        | double | ccw
R    | 1895 || nagant_1895_a      | Russia    | Nagant M1895 Officer      ||                  | 762_nagant   | double | --
R    | 1895 || nagant_1895_b      | Russia    | Nagant M1895 Private      ||                  | 762_nagant   | single | --
R    | 1898 || colt_1898_38_40    | Colt      | M1898 New Service (38-40) ||                  | 38_40        | double | --
R    | 1898 || colt_1898_44_40    | Colt      | M1898 New Service (44-40) ||                  | 44_40        | double | --
R    | 1898 || colt_1898_44_r     | Colt      | M1898 New Service (44R)   ||                  | 44_russian   | double | --
R    | 1898 || colt_1898_44_s     | Colt      | M1898 New Service (44S)   ||                  | 44_special   | double | --
R    | 1898 || colt_1898_45       | Colt      | M1898 New Service (45)    ||                  | 45_colt      | double | --
R    | 1898 || colt_1898_450      | Colt      | M1898 New Service (450)   ||                  | 450_boxer    | double | --
R    | 1898 || colt_1898_455      | Colt      | M1898 New Service (455)   ||                  | 455_webley   | double | --
R    | 1898 || colt_1898_476      | Colt      | M1898 New Service (476)   ||                  | 476_enfield  | double | --
R    | 1901 || websley_fosbery    | UK        | Webley-Fosbery            ||                  | 455_webley   |        | --
R    | 1908 || colt_1892_1908     | Colt      | M1892/1908                ||                  |              | double | dw
R    | 1909 || colt_1898_1909     | US        | M1909                     ||                  | 45_colt      | double | --
R    | 1917 || colt_1917          | Colt      | M1917                     ||                  | 45_acp       | double | moonclips or 45-Auto
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pistol (P), Machine Pistol (MP)
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1893 || borchardt_c93      | DWM       | Borchardt C93             ||                  | 765_borchardt|        | --
P    | 1898 || luger              | DWM       | Luger P08                 ||                  |              |        | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1896 || mauser_c96         | Mauser    | C96                       ||                  | 763 Mauser   | semi   | integral-magazine
P    | 1916 || mauser_c96_1916    | Mauser    | C96 M1916 "Red 9"         ||                  | 9mm          | semi   | --
P    | 1928 || shanxi_type_17     | Shanxi    | Type 17                   ||                  | 45_acp       | semi   | --
P    | 1930 || mauser_c96_1930    | Mauser    | C96 M1930 / DE M711       ||                  | 763 Mauser   | semi   | --
MP   | 1932 || mauser_c96_1932    | Mauser    | C96 M1932                 ||                  | 763 Mauser   | select | detachable-magazine
