YEAR | TITLE   | FIRST        | MIDDLE    | LAST             | XR.
-----|---------|--------------|-----------|------------------|----
---- | --      | John         | --        | A.               | --
---- | --      | Pierce       | --        | A.               | --
---- | --      | Summer       | --        | A.               | --
---- | --      | LaKesha      | Kesha     | Abbey            | --
---- | --      | Rodney       | --        | Abercrombie      | --
---- | --      | Antonia      | --        | Acevedo          | --
---- | --      | Keith        | --        | Acosta           | --
---- | --      | Ralph        | --        | Acosta           | --
---- | --      | Steve        | --        | Acton            | --
---- | --      | Robert       | --        | Adame            | --
---- | --      | James        | --        | Adams            | --
---- | --      | Brian        | Michael   | Aguello          | --
---- | --      | Cris         | --        | Aguinaldo        | --
---- | --      | Shuiab       | --        | Ahmed            | --
---- | --      | Mdsaiful     | --        | Alam             | --
---- | --      | Greenbaum    | --        | Alan             | --
---- | --      | Martinez     | --        | Alberto          | --
---- | --      | Ricardo      | --        | Alderete         | --
---- | --      | Nureddin     | --        | Aldweik          | --
---- | --      | Matt         | --        | Alesandro        | --
---- | --      | Eric         | --        | Alexander        | --
---- | --      | Leslie       | --        | Alexander        | --
---- | --      | Robert       | --        | Alfieri          | --
---- | --      | Robert       | J.        | Alfieri          | --
---- | --      | Armand       | --        | Alia             | --
---- | --      | Kristian     | --        | Allen            | --
---- | --      | Thomas       | --        | Allen            | --
---- | --      | Brenda       | --        | Allport          | --
---- | --      | Judith       | --        | Almodovar        | --
---- | --      | Danny        | --        | Alonso           | --
---- | --      | Gerardo      | --        | Alvarez          | --
---- | --      | Michael      | --        | Amezquita        | --
---- | --      | Mary         | --        | De Anda-Ybarra   | --
---- | --      | Pedro        | --        | Andino           | --
---- | --      | Brandon      | --        | Andrathy         | --
---- | --      | Amir         | --        | Anthony          | --
---- | --      | Stephen      | --        | Antkowiak        | --
---- | --      | Samuel       | --        | Aquino           | --
---- | --      | Ibrahim      | --        | Ashmed           | --
---- | --      | Dan          | --        | Athanasaw        | --
---- | --      | Victor       | --        | Avila            | --
---- | --      | Cynthia      | --        | Ayres            | --
---- | --      | Omar         | K.        | Azero            | --
---- | --      | Asa          | --        | B.               | --
---- | --      | Ely          | --        | B.               | --
---- | --      | Franz        | --        | B.               | --
---- | --      | Jonathan     | --        | B.               | --
---- | --      | Kevin        | --        | B.               | --
---- | --      | Meir         | --        | B.               | --
---- | --      | Melissa      | --        | B.               | --
---- | --      | Michael      | --        | B.               | --
---- | --      | Nicholas     | --        | B.               | --
---- | --      | Shawn        | --        | B.               | --
---- | --      | Robert       | --        | Babcock          | --
---- | --      | Todd         | --        | Bachinski        | --
---- | --      | Alexander    | --        | Back             | --
---- | --      | Sara         | --        | Badger           | --
---- | --      | Kenneth      | --        | Bailey           | --
---- | --      | Megan        | --        | Bailie           | --
---- | --      | Neeta        | --        | Bajwa            | --
---- | --      | Kathy        | --        | Baker            | --
---- | --      | Lewis        | --        | Baker            | --
---- | --      | Sharon       | --        | Baker            | --
---- | --      | Kory         | --        | Bakken           | --
---- | --      | Laszlo       | --        | Baksay           | --
---- | --      | Patricia     | --        | Baldovich        | --
---- | --      | Akil         | --        | Baldwin          | --
---- | --      | Panagiotis   | Pete      | Balias           | --
---- | --      | Brian        | --        | Balkovec         | --
---- | --      | Robert       | W.        | Banes            | --
---- | --      | James        | --        | Banks            | --
---- | --      | Michael      | W.        | Banks            | --
---- | --      | Citlali      | Barboza   | Graham           | --
---- | --      | Lisa         | --        | Batey            | --
---- | --      | Ron          | --        | Batley           | --
---- | --      | Kathleen     | --        | Baugh            | --
---- | --      | Katie        | --        | Bay              | --
---- | --      | Susan        | F.        | Bayles           | --
---- | --      | Jordan       | --        | Bell             | --
---- | --      | Wanno        | --        | Benjamin         | --
---- | --      | Ed           | --        | Bennett          | --
---- | --      | Alyssa       | --        | Benton           | --
---- | --      | Marilyn      | --        | Berdusis         | --
---- | --      | Peter        | --        | Berg             | --
---- | --      | Wendy        | --        | Berg             | --
---- | --      | Kevin        | --        | Berger           | --
---- | --      | Eric         | --        | Bergstrom        | --
---- | --      | Lauren       | --        | Berkebile        | --
---- | --      | Michael      | --        | Bernacke         | --
---- | --      | Jonathon     | --        | Bertran-Harris   | --
---- | --      | Theresa      | --        | Bertucci         | --
---- | --      | Paul         | --        | Bevard           | --
---- | --      | Veh          | --        | Bezdikian        | --
---- | --      | Jill         | --        | Bhalakia         | --
---- | --      | Daniel       | A.        | Bible            | --
---- | --      | Michael      | --        | Biegalski        | --
---- | --      | Gracielani   | Anela     | Billings         | --
---- | --      | Traci        | --        | Billings         | --
---- | --      | Charles      | --        | Bily             | --
---- | --      | Kevin        | --        | Bindus           | --
---- | --      | Michael      | --        | Biscardi         | --
---- | --      | Timothy      | --        | Black            | --
---- | --      | Sheila       | --        | Blandon          | --
---- | --      | Tom          | --        | Blank            | --
---- | --      | Sean         | --        | Bly              | --
---- | --      | Scott        | --        | Bocksel          | --
---- | --      | Lyle         | --        | Boelens          | --
---- | --      | Nicholas     | --        | Bolzman          | --
---- | --      | Andrew       | --        | Bonic            | --
---- | --      | Jack         | --        | Bonner           | --
---- | --      | Alexandra    | --        | Boraas           | --
---- | --      | Brett        | --        | Borntrager       | --
---- | --      | Rich         | --        | Boronyak         | --
